price,time
"$61,133.65",Tue Nov 16 09:10:40 2021
"$60,992.46",Tue Nov 16 09:20:41 2021
"$61,146.06",Tue Nov 16 09:30:42 2021
"$60,735.82",Tue Nov 16 09:40:43 2021
"$60,726.02",Tue Nov 16 09:50:44 2021
"$60,947.77",Tue Nov 16 10:00:45 2021
"$61,236.76",Tue Nov 16 10:10:45 2021
"$61,369.35",Tue Nov 16 10:20:46 2021
"$61,390.98",Tue Nov 16 10:30:47 2021
"$60,594.48",Tue Nov 16 12:50:00 2021
"$60,594.48",Tue Nov 16 13:00:01 2021
"$60,594.48",Tue Nov 16 13:19:41 2021
"$60,492.51",Tue Nov 16 13:29:42 2021
"$60,829.65",Tue Nov 16 13:39:43 2021
"$60,854.95",Tue Nov 16 13:49:44 2021
"$60,791.41",Tue Nov 16 13:59:45 2021
"$60,854.71",Tue Nov 16 14:09:46 2021
"$60,961.96",Tue Nov 16 14:19:48 2021
"$60,944.77",Tue Nov 16 14:29:49 2021
"$61,221.10",Tue Nov 16 14:39:49 2021
"$60,776.21",Tue Nov 16 14:49:50 2021
"$60,542.13",Tue Nov 16 14:59:51 2021
"$60,514.17",Tue Nov 16 15:09:52 2021
"$60,391.96",Tue Nov 16 15:19:53 2021
"$60,538.41",Tue Nov 16 15:25:49 2021
"$60,391.59",Tue Nov 16 15:30:04 2021
"$59,935.24",Tue Nov 16 15:40:06 2021
"$60,456.07",Tue Nov 16 17:29:05 2021
"$60,434.97",Tue Nov 16 17:39:06 2021
"$60,835.47",Tue Nov 16 17:49:06 2021
"$60,834.45",Tue Nov 16 17:59:07 2021
"$60,734.80",Tue Nov 16 18:11:03 2021
"$60,572.03",Tue Nov 16 18:21:04 2021
"$60,266.89",Tue Nov 16 18:31:05 2021
"$60,320.87",Tue Nov 16 18:41:08 2021
"$60,252.99",Tue Nov 16 18:51:09 2021
"$61,169.12",Tue Nov 16 20:19:43 2021
"$61,113.17",Tue Nov 16 20:29:44 2021
"$61,074.27",Tue Nov 16 20:39:45 2021
"$60,934.16",Tue Nov 16 20:49:46 2021
"$60,923.32",Tue Nov 16 20:59:47 2021
"$60,839.71",Tue Nov 16 21:24:15 2021
"$60,703.84",Tue Nov 16 21:34:16 2021
"$60,718.61",Tue Nov 16 21:44:17 2021
"$60,779.73",Tue Nov 16 21:54:18 2021
"$60,626.00",Tue Nov 16 22:04:19 2021
"$60,605.00",Tue Nov 16 22:14:20 2021
"$60,715.68",Tue Nov 16 22:24:20 2021
"$60,716.74",Tue Nov 16 22:34:21 2021
"$60,758.71",Tue Nov 16 22:44:22 2021
"$59,077.04",Wed Nov 17 08:46:47 2021
